51.3,14.2,218.0,5300.0,-0.5,Gentoo
47.5,14.0,212.0,4875.0,0.5,Gentoo
52.1,17.0,230.0,5550.0,-0.5,Gentoo
47.5,15.0,218.0,4950.0,0.5,Gentoo
52.2,17.1,228.0,5400.0,-0.5,Gentoo
45.5,14.5,212.0,4750.0,0.5,Gentoo
49.5,16.1,224.0,5650.0,-0.5,Gentoo
44.5,14.7,214.0,4850.0,0.5,Gentoo
50.8,15.7,226.0,5200.0,-0.5,Gentoo
49.4,15.8,216.0,4925.0,-0.5,Gentoo
49.0,19.6,212.0,4300.0,-0.5,Chinstrap
51.5,18.7,187.0,3250.0,-0.5,Chinstrap
49.8,17.3,198.0,3675.0,0.5,Chinstrap
48.1,16.4,199.0,3325.0,0.5,Chinstrap
51.4,19.0,201.0,3950.0,-0.5,Chinstrap
45.7,17.3,193.0,3600.0,0.5,Chinstrap
50.7,19.7,203.0,4050.0,-0.5,Chinstrap
42.5,17.3,187.0,3350.0,0.5,Chinstrap
52.2,18.8,197.0,3450.0,-0.5,Chinstrap
45.2,16.6,191.0,3250.0,0.5,Chinstrap
49.3,19.9,203.0,4050.0,-0.5,Chinstrap
50.2,18.8,202.0,3800.0,-0.5,Chinstrap
46.9,14.6,222.0,4875.0,0.5,Gentoo
48.4,14.4,203.0,4625.0,0.5,Gentoo
51.1,16.5,225.0,5250.0,-0.5,Gentoo
48.5,15.0,219.0,4850.0,0.5,Gentoo
55.9,17.0,228.0,5600.0,-0.5,Gentoo
47.2,15.5,215.0,4975.0,0.5,Gentoo
39.3,20.6,190.0,3650.0,-0.5,Adelie
38.9,17.8,181.0,3625.0,0.5,Adelie
39.2,19.6,195.0,4675.0,-0.5,Adelie
41.1,17.6,182.0,3200.0,0.5,Adelie
38.6,21.2,191.0,3800.0,-0.5,Adelie
34.6,21.1,198.0,4400.0,-0.5,Adelie
36.6,17.8,185.0,3700.0,0.5,Adelie
38.7,19.0,195.0,3450.0,0.5,Adelie
42.5,20.7,197.0,4500.0,-0.5,Adelie
34.4,18.4,184.0,3325.0,0.5,Adelie
46.0,21.5,194.0,4200.0,-0.5,Adelie
37.8,18.3,174.0,3400.0,0.5,Adelie
37.7,18.7,180.0,3600.0,-0.5,Adelie
35.9,19.2,189.0,3800.0,0.5,Adelie
38.2,18.1,185.0,3950.0,-0.5,Adelie
38.8,17.2,180.0,3800.0,-0.5,Adelie
35.3,18.9,187.0,3800.0,0.5,Adelie
40.6,18.6,183.0,3550.0,-0.5,Adelie
40.5,17.9,187.0,3200.0,0.5,Adelie
37.9,18.6,172.0,3150.0,0.5,Adelie
40.5,18.9,180.0,3950.0,-0.5,Adelie
39.5,16.7,178.0,3250.0,0.5,Adelie
37.2,18.1,178.0,3900.0,-0.5,Adelie
39.5,17.8,188.0,3300.0,0.5,Adelie
40.9,18.9,184.0,3900.0,-0.5,Adelie
36.4,17.0,195.0,3325.0,0.5,Adelie
39.2,21.1,196.0,4150.0,-0.5,Adelie
